Name of Source,Type of Source,Title of Article or Chapter,Author(s),Keywords,200-word Summary,Relevance to Article
Transportation Research Part D: Transport and Environment,Journal article,"Electric Vehicle Charging Station Locations: Elastic Demand, Station Congestion, and Network Equilibrium",Yantao Huang; Kara Kockelman,congestion; elastic demand; user equilibrium; queues; network equilibrium; pricing; travel assignment,"Models station locations under elastic charging demand, traffic congestion, charging queues, and network equilibrium. It shows that a sparse network can create not only access gaps but also severe congestion at strategically important stations. The paper endogenizes route choice, travel time, queueing, and user response, showing that station placement and station performance cannot be separated.",Useful for treating capacity and congestion explicitly and showing that where to place chargers and how much capacity to place there are linked decisions.
Journal of Energy Storage,Journal article,Optimal Allocation of Electric Vehicle Charging Stations in a Highway Network: Part 1. Methodology and Test Application,Giuseppe Napoli; Antonio Polimeni; Salvatore Micari; Laura Andaloro; Vincenzo Antonucci,highway network; interurban charging; corridor design; methodology; highway demand; Italy,"Presents a highway-focused methodology for locating charging stations on a road network, emphasizing interurban mobility and practical corridor design. It treats highway charging as a system that must support longer trips, range constraints, and strategic corridor continuity.","Excellent for a case-study and methodology comparison section, offering a concrete highway-network framework that can be contrasted with urban and activity-based models."
Transportation Research Part A: Policy and Practice,Journal article,The Spatial Planning of Public Electric Vehicle Charging Infrastructure in a High-Density City Using a Contextualised Location-Allocation Model,Sylvia Y. He; Yong-Hong Kuo; Ka Kit Sun,location-allocation; policy constraints; projected demand; high-density city; budget sensitivity; charger expansion,"Combines policy constraints, survey-based EV purchase intention, projected charging demand, and a location-allocation model. Its broader contribution is methodological: it contextualizes optimization within actual planning rules and budget scenarios, rather than treating siting as a purely abstract mathematical problem.","Useful to show how optimization should be contextualized by policy, budget, and site constraints."
Transportation Science,Journal article,Charging Station Location and Sizing for Electric Vehicles Under Congestion,Ömer Burak Kınay; Fatma Gzara; Sibel A. Alumur,location and sizing; congestion; stochastic flows; capacity planning; service levels; queueing,"Integrates location and capacity sizing under congestion and stochastic EV flows. Many siting studies stop at location choice, while real national infrastructure planning must decide both where and how large stations should be. The paper therefore closes a gap between corridor coverage models and operational realism.",Strong source for the capacity-sizing section and for arguing that country-level optimization should treat charger numbers and station throughput as endogenous.
Sustainability,Journal article,Optimizing Electric Vehicle Charging Station Location on Highways: A Decision Model for Meeting Intercity Travel Demand,Ibrahim Tumay Gulbahar; Muhammed Sutcu; Abedalmuhdi Almomany; Babul Salam KSM Kader Ibrahim,highways; intercity demand; EV forecasting; charger numbers; corridor siting; Türkiye,Targets optimal placement of charging stations along highways to meet intercity travel demand and estimates future EV numbers as inputs to the siting model. It is useful because it links infrastructure planning to fleet growth instead of assuming today’s demand is enough.,"Useful as a direct analogue for country-scale road-network planning, especially if integrating demand forecasting with corridor optimization."
Sustainable Cities and Society,Journal article,Optimal Location of Electric Vehicle Charging Stations Using Proximity Diagrams,Carmen Calvo-Jurado; José María Ceballos-Martínez; José Carlos García-Merino; Marina Muñoz-Solano; Fernando Jesús Sánchez-Herrera,Voronoi diagrams; GIS; spatial optimization; proximity analysis; network expansion; geometric methods,Proposes a geometric method based on Voronoi/proximity diagrams to identify optimal new charging locations relative to existing infrastructure. It is a useful complement to optimization papers because it offers a spatial-analytic heuristic for identifying underserved areas and candidate expansion zones.,"Useful for GIS and exploratory spatial analysis, supporting a two-stage workflow: identify underserved regions geometrically, then optimize within them."
Central European Journal of Operations Research,Journal article,Advanced Optimization Models for the Location of Charging Stations in E-Mobility,Radek Staněk; Petr Buzna,deterministic flow refuelling; construction cost; policy implications; objective extensions; operations research; e-mobility,"Extends deterministic flow-refuelling models with new objectives and constraints, emphasizing that location-dependent construction costs can materially change the charging infrastructure selected. For national planning, this matters because rural, mountainous, or grid-constrained areas often have very different deployment costs.",Useful to justify a cost-sensitive national model and to explain why traffic-maximizing and budget-efficient solutions may diverge.
Transportation Research Part C: Emerging Technologies,Review article,Charging Station Location Problem: A Comprehensive Review on Models and Solution Approaches,Mouna Kchaou-Boujelben,literature review; solution methods; models; charging-station siting; optimization review; taxonomy,"Comprehensive review synthesizing the charging-station location literature and classifying both model types and solution approaches. It provides a clear taxonomy: deterministic vs stochastic, node-based vs flow-based, exact vs heuristic, static vs dynamic, and more.","Essential for organizing the literature review and identifying open gaps, especially for national-scale, interurban, and integrated energy-transport models."
International Journal of Sustainable Transportation,Review article,Toward Sustainable Transportation: A Systematic Review of EV Charging Station Locations,Moses Katontoka; Francesco Orsi; Martha Bakker; Boris Hocks,systematic review; EVCS locations; siting criteria; evidence synthesis; planning; sustainability,Recent systematic review asking what patterns and dominant criteria emerge from the growing literature on EV charging-site selection. It helps identify consensus versus fragmentation across methods and criteria.,Useful as a recent review anchor for framing the state of the art and explaining why national-scale synthesis remains needed.
National Renewable Energy Laboratory (NREL),Technical report,The 2030 National Charging Network: Estimating U.S. Light-Duty Demand for Electric Vehicle Charging Infrastructure,Eric Wood; Brennan Borlaug; Matt Moniot; Dong-Yeon Lee; Yanbo Ge; Fan Yang; Zhaocai Liu,national network; charging demand; scenario modeling; U.S.; infrastructure planning; EVI-X; corridors,Policy-relevant national planning document using modular scenario-based modeling to estimate light-duty charging needs for 2030 and treating different charging use cases separately. It demonstrates how to translate EV adoption scenarios into a national charging-network buildout rather than merely optimizing a fixed current demand map.,Excellent for a national planning and scenario-analysis section; shows how to connect optimization with policy-relevant infrastructure projections.
NREL / TRB presentation,Technical report / conference output,National Plug-In Electric Vehicle Infrastructure Analysis,Matteo Muratori; Eric Wood; Clement Rames; Marc Melaina,corridor charging; urban-rural balance; infrastructure roadmap; nationwide minimum coverage; co-evolution,"Distinguishes charging needs along interstate corridors from those within urban and rural communities. It argues that a relatively limited number of corridor fast-charging stations may enable long-distance travel between cities, while broader community charging requires much larger infrastructure. This distinction is crucial for national optimization papers.","Useful to clarify the difference between minimum corridor coverage and full national accessibility, supporting a layered national strategy."
International Energy Agency (IEA),Global policy/market report,Global EV Outlook 2025,International Energy Agency,EV adoption; global charging infrastructure; policy trends; battery demand; scenario outlooks; public charging,"Provides macro context on EV deployment, battery demand, and charging infrastructure worldwide. It is valuable not as a siting model but as strategic context, showing the pace of market growth, the scale of infrastructure expansion, and the policy environment in which national charging networks are being planned.","Best for the introduction and policy-context sections, providing up-to-date evidence on why national charging optimization matters."
EUR-Lex / European Union,Regulation / policy document,Regulation (EU) 2023/1804 on the Deployment of Alternative Fuels Infrastructure (AFIR),European Parliament; Council of the European Union,AFIR; TEN-T; corridor standards; fast charging; compliance; EU policy; minimum spacing,"Major European policy text for national charging planning. It sets requirements for publicly accessible recharging pools for light-duty EVs along the TEN-T core and comprehensive networks, including spacing and aggregate power thresholds that rise over time.","Critical for any article with a European policy dimension; can serve as an external benchmark, constraint set, or validation criterion for a national optimization model."
World Electric Vehicle Journal,Review article,Equity Considerations in Public Electric Vehicle Charging: A Review,Boyou Chen; Austin Moore; Bochen Jia; Kaihan Zhang; Mengqiu Cao,equity; accessibility; justice; public charging; demographics; inclusive planning; spatial inequality,"Addresses a dimension often missing from purely efficiency-driven siting: equity. It argues that networks optimized only for traffic or profitability may underserve low-income regions, renters, peripheral communities, or places without home charging.","Useful for adding a normative and social-justice perspective, especially if critiquing purely market- or traffic-based optimization."
